id|conexion|vel_conexion|TV
12779|FIBRA|600MB|tv-futbol
12780|FIBRA|600MB|tv-futbol
12781|ADSL|35MB|tv-futbol
12782|FIBRA|200MB|tv-futbol
12783|FIBRA|50MB|tv-futbol
12784|ADSL|30MB|tv-futbol
12785|FIBRA|100MB|tv-familiar
12786|FIBRA|200MB|tv-familiar
12787|FIBRA|600MB|tv-futbol
12788|ADSL|20MB|tv-familiar
12789|ADSL|30MB|tv-familiar
12790|ADSL|30MB|tv-futbol
12791|ADSL|15MB|tv-futbol
12792|ADSL|25MB|tv-familiar
12793|ADSL|20MB|tv-futbol
12794|FIBRA|300MB|tv-familiar
12795|ADSL|20MB|tv-familiar
12796|FIBRA|100MB|tv-total
12797|ADSL|30MB|tv-familiar
12799|FIBRA|200MB|tv-familiar
12800|ADSL|10MB|tv-familiar
12801|ADSL|20MB|tv-familiar
12802|FIBRA|600MB|tv-futbol
12803|ADSL|10MB|tv-total
12804|ADSL|10MB|tv-total
12805|FIBRA|100MB|tv-futbol
12806|ADSL|30MB|tv-familiar
12807|ADSL|50MB|tv-futbol
12808|ADSL|20MB|tv-futbol
12809|FIBRA|300MB|tv-futbol
12810|FIBRA|300MB|tv-futbol
12811|ADSL|10MB|tv-familiar
12812|ADSL|10MB|tv-futbol
12813|FIBRA|50MB|tv-total
12814|ADSL|35MB|tv-futbol
12815|FIBRA|600MB|tv-futbol
12816|ADSL|15MB|tv-total
12817|ADSL|35MB|tv-familiar
12818|FIBRA|50MB|tv-futbol
12819|ADSL|25MB|tv-familiar
12820|FIBRA|200MB|tv-familiar
12821|ADSL|20MB|tv-total
12822|FIBRA|200MB|tv-familiar
12823|FIBRA|100MB|tv-futbol
12824|FIBRA|300MB|tv-total
12825|ADSL|20MB|tv-futbol
12826|ADSL|20MB|tv-futbol
12827|ADSL|25MB|tv-total
12828|FIBRA|300MB|tv-familiar
12829|FIBRA|50MB|tv-familiar
12830|ADSL|10MB|tv-familiar
12831|ADSL|50MB|tv-futbol
12832|ADSL|20MB|tv-familiar
12833|ADSL|20MB|tv-familiar
12834|ADSL|25MB|tv-futbol
12835|FIBRA|600MB|tv-total
12836|ADSL|30MB|tv-futbol
12837|ADSL|50MB|tv-futbol
12838|ADSL|10MB|tv-futbol
12839|FIBRA|50MB|tv-futbol
12840|FIBRA|600MB|tv-familiar
12841|ADSL|20MB|tv-futbol
12842|ADSL|300MB|tv-futbol
12843|FIBRA|300MB|tv-familiar
12844|ADSL|30MB|tv-futbol
12845|ADSL|30MB|tv-familiar
12846|FIBRA|600MB|tv-familiar
12847|FIBRA|300MB|tv-futbol
12848|FIBRA|200MB|tv-futbol
12849|ADSL|10MB|tv-total
12850|ADSL|15MB|tv-futbol
12851|ADSL|35MB|tv-futbol
12852|ADSL|10MB|tv-familiar
12853|ADSL|25MB|tv-total
12854|ADSL|35MB|tv-futbol
12855|FIBRA|50MB|tv-familiar
12857|FIBRA|50MB|tv-familiar
12858|ADSL|20MB|tv-futbol
12859|FIBRA|300MB|tv-futbol
12860|ADSL|10MB|tv-familiar
12862|FIBRA|600MB|tv-futbol
12863|ADSL|35MB|tv-futbol
12864|ADSL|15MB|tv-familiar
12865|ADSL|25MB|tv-familiar
12866|ADSL|20MB|tv-familiar
12867|FIBRA|300MB|tv-futbol
12868|ADSL|15MB|tv-total
12869|FIBRA|50MB|tv-total
12870|ADSL|30MB|tv-futbol
12871|FIBRA|300MB|tv-familiar
12872|ADSL|15MB|tv-futbol
12873|ADSL|30MB|tv-futbol
12874|FIBRA|300MB|tv-total
12875|ADSL|15MB|tv-futbol
12876|FIBRA|300MB|tv-familiar
12877|ADSL|30MB|tv-futbol
12879|ADSL|10MB|tv-familiar
12880|ADSL|35MB|tv-familiar
12881|ADSL|35MB|tv-familiar
12882|ADSL|10MB|tv-futbol
12883|ADSL|25MB|tv-familiar
12884|FIBRA|300MB|tv-futbol
12885|FIBRA|300MB|tv-futbol
12886|ADSL|35MB|tv-futbol
12887|ADSL|30MB|tv-futbol
12888|ADSL|25MB|tv-familiar
12889|ADSL|15MB|tv-futbol
12890|FIBRA|600MB|tv-total
12891|ADSL|25MB|tv-futbol
12892|FIBRA|50MB|tv-familiar
12893|ADSL|35MB|tv-familiar
12894|ADSL|10MB|tv-futbol
12895|ADSL|15MB|tv-futbol
12896|FIBRA|200MB|tv-futbol
12897|FIBRA|600MB|tv-futbol
12898|FIBRA|50MB|tv-familiar
12900|FIBRA|600MB|tv-total
12901|FIBRA|300MB|tv-futbol
12902|FIBRA|100MB|tv-familiar
12903|ADSL|15MB|tv-total
12904|FIBRA|300MB|tv-familiar
12905|FIBRA|600MB|tv-futbol
12906|ADSL|25MB|tv-futbol
12907|FIBRA|300MB|tv-futbol
12908|FIBRA|200MB|tv-familiar
12909|FIBRA|600MB|tv-futbol
12910|ADSL|10MB|tv-familiar
12911|FIBRA|600MB|tv-futbol
12912|FIBRA|200MB|tv-familiar
12913|ADSL|25MB|tv-futbol
12914|FIBRA|200MB|tv-total
12915|ADSL|30MB|tv-futbol
12917|ADSL|600MB|tv-futbol
12918|ADSL|35MB|tv-familiar
12919|FIBRA|100MB|tv-futbol
12920|FIBRA|600MB|tv-futbol
12921|ADSL|30MB|tv-familiar
12922|FIBRA|300MB|tv-futbol
12923|ADSL|30MB|tv-futbol
12924|FIBRA|300MB|tv-futbol
12925|FIBRA|600MB|tv-futbol
12926|ADSL|30MB|tv-futbol
12927|FIBRA|50MB|tv-futbol
12928|FIBRA|300MB|tv-familiar
12929|FIBRA|50MB|tv-total
12930|ADSL|20MB|tv-familiar
12931|ADSL|25MB|tv-futbol
12932|ADSL|30MB|tv-total
12933|FIBRA|200MB|tv-futbol
12934|ADSL|30MB|tv-futbol
12935|ADSL|10MB|tv-futbol
12936|ADSL|10MB|tv-futbol
12937|ADSL|30MB|tv-futbol
12938|ADSL|35MB|tv-familiar
12939|ADSL|15MB|tv-familiar
12940|FIBRA|200MB|tv-futbol
12941|ADSL|20MB|tv-futbol
12942|ADSL|300MB|tv-futbol
12943|FIBRA|100MB|tv-familiar
12944|FIBRA|200MB|tv-futbol
12945|FIBRA|600MB|tv-futbol
12946|FIBRA|600MB|tv-total
12947|FIBRA|600MB|tv-futbol
12948|FIBRA|100MB|tv-familiar
12949|FIBRA|600MB|tv-familiar
12950|ADSL|25MB|tv-familiar
12951|ADSL|35MB|tv-futbol
12952|ADSL|20MB|tv-total
12953|ADSL|35MB|tv-futbol
12954|ADSL|10MB|tv-futbol
12955|FIBRA|100MB|tv-total
12956|ADSL|15MB|tv-futbol
12958|FIBRA|600MB|tv-familiar
12960|FIBRA|100MB|tv-futbol
12961|ADSL|25MB|tv-total
12962|ADSL|15MB|tv-futbol
12963|ADSL|30MB|tv-futbol
12964|FIBRA|600MB|tv-futbol
12965|FIBRA|300MB|tv-familiar
12966|ADSL|25MB|tv-familiar
12967|FIBRA|300MB|tv-futbol
12968|FIBRA|50MB|tv-familiar
12969|ADSL|35MB|tv-futbol
12970|ADSL|10MB|tv-familiar
12971|ADSL|35MB|tv-futbol
12972|ADSL|35MB|tv-total
12973|FIBRA|200MB|tv-familiar
12974|ADSL|15MB|tv-total
12975|FIBRA|50MB|tv-total
12976|FIBRA|100MB|tv-futbol
12977|ADSL|25MB|tv-futbol
12978|FIBRA|100MB|tv-futbol
12980|FIBRA|50MB|tv-futbol
12981|ADSL|25MB|tv-futbol
12982|ADSL|20MB|tv-futbol
12983|FIBRA|300MB|tv-total
12984|ADSL|25MB|tv-futbol
12985|ADSL|30MB|tv-total
12986|ADSL|600MB|tv-futbol
12987|ADSL|15MB|tv-total
12988|ADSL|10MB|tv-futbol
12989|FIBRA|100MB|tv-futbol
12990|FIBRA|600MB|tv-total
12991|ADSL|20MB|tv-familiar
12992|ADSL|25MB|tv-futbol
12993|FIBRA|300MB|tv-familiar
12994|FIBRA|100MB|tv-futbol
12996|ADSL|15MB|tv-familiar
12997|ADSL|100MB|tv-futbol
12998|FIBRA|200MB|tv-futbol
12999|FIBRA|50MB|tv-total
13001|ADSL|35MB|tv-familiar
13002|FIBRA|300MB|tv-familiar
13003|FIBRA|200MB|tv-familiar
13004|FIBRA|50MB|tv-familiar
13005|FIBRA|300MB|tv-familiar
13006|ADSL|25MB|tv-familiar
13007|ADSL|200MB|tv-futbol
13008|FIBRA|100MB|tv-total
13009|FIBRA|300MB|tv-total
13010|ADSL|200MB|tv-futbol
13011|ADSL|10MB|tv-futbol
13012|ADSL|30MB|tv-familiar
13013|FIBRA|200MB|tv-futbol
13014|FIBRA|200MB|tv-familiar
13015|FIBRA|300MB|tv-familiar
13016|FIBRA|300MB|tv-futbol
13017|ADSL|30MB|tv-futbol
13018|ADSL|15MB|tv-futbol
13019|FIBRA|600MB|tv-familiar
13020|ADSL|10MB|tv-futbol
13022|ADSL|20MB|tv-futbol
13023|ADSL|30MB|tv-total
13024|FIBRA|200MB|tv-familiar
13025|ADSL|25MB|tv-familiar
13026|FIBRA|600MB|tv-familiar
13027|FIBRA|300MB|tv-futbol
13028|FIBRA|100MB|tv-futbol
13029|ADSL|35MB|tv-futbol
13030|ADSL|20MB|tv-familiar
13031|ADSL|35MB|tv-familiar
13032|ADSL|20MB|tv-total
13034|ADSL|15MB|tv-futbol
13035|ADSL|25MB|tv-total
13036|FIBRA|300MB|tv-futbol
13037|ADSL|300MB|tv-futbol
13038|ADSL|10MB|tv-futbol
13039|FIBRA|300MB|tv-futbol
13040|ADSL|25MB|tv-familiar
13041|ADSL|600MB|tv-futbol
13042|ADSL|35MB|tv-futbol
13043|FIBRA|300MB|tv-futbol
13044|FIBRA|300MB|tv-futbol
13045|FIBRA|50MB|tv-futbol
13046|ADSL|30MB|tv-futbol
13047|ADSL|15MB|tv-futbol
13048|ADSL|25MB|tv-futbol
13049|ADSL|20MB|tv-futbol
13051|FIBRA|300MB|tv-familiar
13052|ADSL|20MB|tv-familiar
13053|ADSL|35MB|tv-futbol
13054|FIBRA|300MB|tv-futbol
13055|FIBRA|300MB|tv-futbol
13056|ADSL|10MB|tv-futbol
13057|FIBRA|600MB|tv-futbol
13058|ADSL|15MB|tv-familiar
13059|ADSL|10MB|tv-total
13060|FIBRA|100MB|tv-futbol
13061|ADSL|30MB|tv-futbol
13062|ADSL|15MB|tv-total
13063|ADSL|100MB|tv-futbol
13064|FIBRA|200MB|tv-total
13065|ADSL|200MB|tv-futbol
13066|ADSL|50MB|tv-futbol
13067|FIBRA|50MB|tv-futbol
13068|FIBRA|200MB|tv-total
13069|FIBRA|300MB|tv-futbol
13070|ADSL|600MB|tv-futbol
13071|ADSL|50MB|tv-futbol
13072|ADSL|10MB|tv-familiar
13073|ADSL|20MB|tv-familiar
13074|FIBRA|300MB|tv-futbol
13075|ADSL|35MB|tv-futbol
13076|ADSL|35MB|tv-familiar
13077|ADSL|20MB|tv-familiar
13078|ADSL|20MB|tv-total
13079|ADSL|30MB|tv-futbol
13080|FIBRA|100MB|tv-futbol
13081|FIBRA|50MB|tv-total
13082|ADSL|10MB|tv-futbol
13083|ADSL|25MB|tv-futbol
13084|ADSL|50MB|tv-futbol
13085|ADSL|50MB|tv-futbol
13086|ADSL|20MB|tv-futbol
13087|ADSL|25MB|tv-futbol
13088|ADSL|25MB|tv-futbol
13089|ADSL|10MB|tv-familiar
13090|ADSL|20MB|tv-futbol
13092|ADSL|25MB|tv-futbol
13093|FIBRA|300MB|tv-futbol
13094|ADSL|25MB|tv-futbol
13095|FIBRA|100MB|tv-total
13096|ADSL|15MB|tv-futbol
13097|ADSL|50MB|tv-futbol
13099|ADSL|15MB|tv-futbol
13100|FIBRA|600MB|tv-familiar
13101|ADSL|10MB|tv-futbol
13102|ADSL|25MB|tv-futbol
13103|ADSL|20MB|tv-futbol
13104|FIBRA|300MB|tv-familiar
13105|ADSL|30MB|tv-futbol
13106|FIBRA|200MB|tv-futbol
13107|FIBRA|50MB|tv-total
13108|ADSL|25MB|tv-familiar
13109|FIBRA|50MB|tv-futbol
13110|ADSL|20MB|tv-familiar
13111|ADSL|20MB|tv-futbol
13112|FIBRA|200MB|tv-familiar
13113|FIBRA|50MB|tv-futbol
13114|FIBRA|50MB|tv-futbol
13115|FIBRA|100MB|tv-futbol
13116|FIBRA|50MB|tv-familiar
13117|ADSL|15MB|tv-total
13118|FIBRA|300MB|tv-futbol
13119|ADSL|10MB|tv-futbol
13120|ADSL|35MB|tv-familiar
13121|ADSL|30MB|tv-futbol
13122|FIBRA|50MB|tv-total
13123|FIBRA|600MB|tv-familiar
13124|ADSL|25MB|tv-futbol
13125|ADSL|25MB|tv-futbol
13126|FIBRA|600MB|tv-familiar
13127|FIBRA|300MB|tv-total
13128|ADSL|15MB|tv-futbol
13129|ADSL|35MB|tv-futbol
13130|ADSL|25MB|tv-futbol
13131|ADSL|10MB|tv-futbol
13132|ADSL|30MB|tv-futbol
13133|FIBRA|50MB|tv-familiar
13135|FIBRA|600MB|tv-futbol
13136|ADSL|30MB|tv-familiar
13137|FIBRA|200MB|tv-futbol
13138|FIBRA|300MB|tv-futbol
13139|ADSL|10MB|tv-total
13140|ADSL|30MB|tv-futbol
13141|ADSL|35MB|tv-familiar
13142|FIBRA|300MB|tv-total
13143|FIBRA|100MB|tv-familiar
13144|FIBRA|600MB|tv-total
13145|ADSL|35MB|tv-familiar
13146|FIBRA|200MB|tv-futbol
13147|ADSL|20MB|tv-futbol
13148|FIBRA|200MB|tv-futbol
13149|ADSL|20MB|tv-futbol
13150|ADSL|35MB|tv-total
13151|ADSL|35MB|tv-futbol
13152|ADSL|35MB|tv-futbol
13153|FIBRA|300MB|tv-familiar
13154|FIBRA|100MB|tv-total
13155|ADSL|35MB|tv-total
13156|ADSL|30MB|tv-futbol
13157|ADSL|25MB|tv-futbol
13158|FIBRA|100MB|tv-familiar
13159|ADSL|30MB|tv-familiar
13160|ADSL|25MB|tv-futbol
13161|ADSL|30MB|tv-total
13162|FIBRA|50MB|tv-futbol
13163|ADSL|30MB|tv-futbol
13164|FIBRA|600MB|tv-futbol
13165|FIBRA|50MB|tv-futbol
13166|FIBRA|200MB|tv-familiar
13167|FIBRA|50MB|tv-familiar
13168|FIBRA|300MB|tv-familiar
13169|FIBRA|50MB|tv-futbol
13170|ADSL|10MB|tv-futbol
13171|ADSL|35MB|tv-total
13172|FIBRA|100MB|tv-total
13173|ADSL|30MB|tv-familiar
13174|FIBRA|100MB|tv-familiar
13177|ADSL|100MB|tv-futbol
13178|ADSL|30MB|tv-familiar
13179|FIBRA|300MB|tv-futbol
13180|FIBRA|600MB|tv-familiar
13181|FIBRA|300MB|tv-futbol
13182|ADSL|300MB|tv-futbol
13183|FIBRA|100MB|tv-familiar
13184|FIBRA|200MB|tv-familiar
13186|FIBRA|300MB|tv-familiar
13187|ADSL|25MB|tv-futbol
13188|ADSL|35MB|tv-familiar
13189|ADSL|35MB|tv-futbol
13190|ADSL|300MB|tv-futbol
13191|FIBRA|600MB|tv-familiar
13192|ADSL|15MB|tv-futbol
13193|ADSL|15MB|tv-futbol
13194|FIBRA|200MB|tv-futbol
13195|FIBRA|600MB|tv-futbol
13197|FIBRA|600MB|tv-futbol
13198|FIBRA|300MB|tv-total
13199|ADSL|25MB|tv-familiar
13200|ADSL|35MB|tv-futbol
13201|FIBRA|600MB|tv-futbol
13202|FIBRA|200MB|tv-futbol
13203|FIBRA|600MB|tv-futbol
13204|ADSL|30MB|tv-futbol
13205|FIBRA|200MB|tv-futbol
13206|ADSL|25MB|tv-futbol
13207|ADSL|35MB|tv-familiar
13208|FIBRA|50MB|tv-futbol
13209|FIBRA|100MB|tv-familiar
13210|ADSL|20MB|tv-futbol
13211|ADSL|35MB|tv-futbol
13212|FIBRA|600MB|tv-familiar
13213|FIBRA|200MB|tv-futbol
13214|FIBRA|300MB|tv-familiar
13215|ADSL|50MB|tv-futbol
13216|ADSL|25MB|tv-futbol
13217|ADSL|10MB|tv-familiar
13218|ADSL|20MB|tv-futbol
13220|FIBRA|100MB|tv-futbol
13221|ADSL|15MB|tv-familiar
13222|FIBRA|600MB|tv-futbol
13223|ADSL|15MB|tv-futbol
13224|FIBRA|50MB|tv-futbol
13225|ADSL|15MB|tv-futbol
13226|FIBRA|600MB|tv-futbol
13227|FIBRA|600MB|tv-futbol
13228|ADSL|20MB|tv-familiar
13229|FIBRA|200MB|tv-familiar
13230|FIBRA|50MB|tv-futbol
13231|ADSL|35MB|tv-futbol
13232|ADSL|10MB|tv-familiar
13233|FIBRA|100MB|tv-futbol
13234|FIBRA|600MB|tv-futbol
13235|ADSL|15MB|tv-futbol
13236|FIBRA|50MB|tv-futbol
13237|FIBRA|600MB|tv-futbol
13238|ADSL|20MB|tv-futbol
13239|ADSL|10MB|tv-futbol
13240|FIBRA|300MB|tv-futbol
13241|FIBRA|600MB|tv-familiar
13242|FIBRA|600MB|tv-futbol
13243|ADSL|15MB|tv-futbol
13244|FIBRA|200MB|tv-futbol
13245|FIBRA|200MB|tv-familiar
13246|ADSL|20MB|tv-familiar
13247|FIBRA|200MB|tv-total
13248|ADSL|10MB|tv-futbol
13249|ADSL|10MB|tv-futbol
13250|FIBRA|300MB|tv-familiar
13251|ADSL|35MB|tv-futbol
13252|FIBRA|200MB|tv-total
13253|ADSL|10MB|tv-familiar
13254|FIBRA|50MB|tv-familiar
13255|ADSL|30MB|tv-total
13256|ADSL|15MB|tv-total
13257|ADSL|20MB|tv-total
13258|ADSL|20MB|tv-familiar
13259|ADSL|35MB|tv-total
13260|FIBRA|50MB|tv-futbol
13261|ADSL|35MB|tv-futbol
13263|FIBRA|300MB|tv-familiar
13264|FIBRA|50MB|tv-total
13265|FIBRA|100MB|tv-futbol
13266|ADSL|15MB|tv-futbol
13267|FIBRA|100MB|tv-futbol
13268|ADSL|20MB|tv-familiar
13269|ADSL|25MB|tv-futbol
13270|FIBRA|50MB|tv-total
13271|ADSL|30MB|tv-familiar
13272|ADSL|15MB|tv-futbol
13273|ADSL|20MB|tv-total
13274|FIBRA|50MB|tv-total
13275|FIBRA|100MB|tv-familiar
13276|ADSL|300MB|tv-futbol
13277|ADSL|200MB|tv-futbol
13278|FIBRA|200MB|tv-familiar
13279|ADSL|15MB|tv-familiar
13280|ADSL|35MB|tv-futbol
13282|FIBRA|300MB|tv-futbol
13283|FIBRA|200MB|tv-familiar
13284|FIBRA|300MB|tv-familiar
13285|FIBRA|300MB|tv-futbol
13286|FIBRA|300MB|tv-futbol
13287|FIBRA|600MB|tv-familiar
13288|FIBRA|100MB|tv-familiar
13289|ADSL|15MB|tv-familiar
13290|FIBRA|200MB|tv-familiar
13291|FIBRA|100MB|tv-futbol
13292|FIBRA|100MB|tv-futbol
13293|FIBRA|200MB|tv-total
13294|FIBRA|200MB|tv-futbol
13295|FIBRA|200MB|tv-futbol
13296|ADSL|20MB|tv-futbol
13297|ADSL|20MB|tv-futbol
13298|ADSL|30MB|tv-familiar
13299|ADSL|10MB|tv-futbol
13300|FIBRA|600MB|tv-futbol
13302|ADSL|35MB|tv-total
13303|FIBRA|300MB|tv-familiar
13304|FIBRA|600MB|tv-total
13305|FIBRA|200MB|tv-futbol
13306|FIBRA|600MB|tv-futbol
13307|FIBRA|600MB|tv-total
13308|ADSL|35MB|tv-futbol
13309|ADSL|15MB|tv-futbol
13310|ADSL|10MB|tv-total
13311|ADSL|20MB|tv-familiar
13312|FIBRA|100MB|tv-total
13313|ADSL|35MB|tv-futbol
13314|ADSL|35MB|tv-familiar
13315|ADSL|20MB|tv-futbol
13316|ADSL|25MB|tv-futbol
13317|ADSL|10MB|tv-familiar
13318|ADSL|25MB|tv-familiar
13319|FIBRA|300MB|tv-futbol
13320|FIBRA|50MB|tv-total
13321|FIBRA|50MB|tv-futbol
13323|ADSL|20MB|tv-familiar
13325|ADSL|10MB|tv-futbol
13326|FIBRA|50MB|tv-futbol
13327|FIBRA|200MB|tv-total
13328|FIBRA|100MB|tv-familiar
13329|ADSL|10MB|tv-total
13330|ADSL|50MB|tv-futbol
13331|FIBRA|100MB|tv-futbol
13332|FIBRA|300MB|tv-familiar
13333|ADSL|35MB|tv-futbol
13334|FIBRA|200MB|tv-familiar
13335|FIBRA|50MB|tv-futbol
13336|FIBRA|50MB|tv-familiar
13337|FIBRA|200MB|tv-futbol
13338|FIBRA|600MB|tv-familiar
13339|FIBRA|300MB|tv-futbol
13340|FIBRA|600MB|tv-total
13341|FIBRA|600MB|tv-futbol
13342|ADSL|15MB|tv-futbol
13343|FIBRA|300MB|tv-familiar
13344|ADSL|100MB|tv-futbol
13345|FIBRA|50MB|tv-futbol
13346|ADSL|25MB|tv-futbol
13347|ADSL|35MB|tv-futbol
13348|FIBRA|50MB|tv-total
13349|FIBRA|200MB|tv-familiar
13350|FIBRA|50MB|tv-total
13351|ADSL|15MB|tv-futbol
13352|ADSL|20MB|tv-futbol
13353|ADSL|25MB|tv-futbol
13354|FIBRA|600MB|tv-futbol
13355|FIBRA|300MB|tv-futbol
13356|FIBRA|50MB|tv-futbol
13357|ADSL|30MB|tv-futbol
13358|ADSL|30MB|tv-familiar
13359|FIBRA|300MB|tv-familiar
13360|FIBRA|300MB|tv-futbol
13362|FIBRA|100MB|tv-familiar
13363|FIBRA|200MB|tv-familiar
13364|ADSL|15MB|tv-familiar
13365|FIBRA|100MB|tv-familiar
13366|FIBRA|300MB|tv-familiar
13367|ADSL|20MB|tv-total
13368|ADSL|600MB|tv-futbol
13369|FIBRA|200MB|tv-familiar
13370|FIBRA|200MB|tv-futbol
13371|ADSL|20MB|tv-futbol
13372|ADSL|25MB|tv-futbol
13373|ADSL|10MB|tv-futbol
13374|ADSL|35MB|tv-futbol
13375|FIBRA|50MB|tv-futbol
13376|FIBRA|200MB|tv-total
13378|FIBRA|200MB|tv-total
13379|ADSL|25MB|tv-familiar
13380|ADSL|30MB|tv-familiar
13381|FIBRA|600MB|tv-futbol
13382|ADSL|20MB|tv-futbol
13383|ADSL|30MB|tv-futbol
13384|ADSL|35MB|tv-futbol
13385|ADSL|10MB|tv-futbol
13387|ADSL|15MB|tv-familiar
13388|ADSL|600MB|tv-futbol
13389|FIBRA|600MB|tv-total
13390|ADSL|35MB|tv-futbol
13391|FIBRA|100MB|tv-total
13392|FIBRA|50MB|tv-futbol
13393|ADSL|25MB|tv-familiar
13394|ADSL|30MB|tv-futbol
13395|FIBRA|100MB|tv-futbol
13396|FIBRA|200MB|tv-total
13397|ADSL|35MB|tv-familiar
13398|ADSL|15MB|tv-familiar
13399|FIBRA|600MB|tv-familiar
13400|FIBRA|200MB|tv-futbol
13401|ADSL|15MB|tv-familiar
13402|FIBRA|100MB|tv-familiar
13403|ADSL|35MB|tv-futbol
13404|ADSL|20MB|tv-futbol
13405|ADSL|15MB|tv-familiar
13406|FIBRA|50MB|tv-familiar
13407|FIBRA|100MB|tv-total
13408|ADSL|10MB|tv-futbol
13409|ADSL|20MB|tv-futbol
13410|ADSL|100MB|tv-futbol
13411|ADSL|30MB|tv-familiar
13412|FIBRA|200MB|tv-futbol
13413|FIBRA|600MB|tv-futbol
13414|FIBRA|100MB|tv-familiar
13415|ADSL|30MB|tv-familiar
13416|ADSL|20MB|tv-familiar
13417|ADSL|200MB|tv-futbol
13418|FIBRA|50MB|tv-total
13419|ADSL|30MB|tv-futbol
13420|FIBRA|100MB|tv-total
13421|FIBRA|50MB|tv-futbol
13422|FIBRA|50MB|tv-familiar
13423|FIBRA|200MB|tv-futbol
13424|ADSL|25MB|tv-futbol
13425|ADSL|25MB|tv-futbol
13426|FIBRA|600MB|tv-total
13427|FIBRA|300MB|tv-futbol
13428|ADSL|30MB|tv-futbol
13429|FIBRA|300MB|tv-total
13430|ADSL|10MB|tv-familiar
13431|FIBRA|300MB|tv-futbol
13432|ADSL|20MB|tv-familiar
13433|ADSL|10MB|tv-futbol
13434|FIBRA|600MB|tv-futbol
13435|FIBRA|200MB|tv-familiar
13436|ADSL|10MB|tv-familiar
13437|ADSL|30MB|tv-futbol
13438|FIBRA|300MB|tv-futbol
13439|ADSL|35MB|tv-futbol
13441|FIBRA|100MB|tv-familiar
13442|ADSL|30MB|tv-familiar
13443|FIBRA|50MB|tv-futbol
13444|ADSL|30MB|tv-familiar
13445|ADSL|15MB|tv-familiar
13446|ADSL|10MB|tv-futbol
13447|ADSL|20MB|tv-familiar
13448|FIBRA|100MB|tv-familiar
13449|ADSL|10MB|tv-futbol
13450|FIBRA|300MB|tv-futbol
13451|ADSL|10MB|tv-futbol
13452|ADSL|35MB|tv-futbol
13453|ADSL|35MB|tv-familiar
13454|FIBRA|300MB|tv-futbol
13455|FIBRA|50MB|tv-futbol
13456|ADSL|30MB|tv-futbol
13457|FIBRA|200MB|tv-familiar
13458|FIBRA|50MB|tv-futbol
13459|FIBRA|50MB|tv-futbol
13460|FIBRA|50MB|tv-futbol
13461|ADSL|15MB|tv-futbol
13462|FIBRA|200MB|tv-futbol
13463|FIBRA|300MB|tv-familiar
13465|FIBRA|200MB|tv-familiar
13466|ADSL|600MB|tv-futbol
13467|ADSL|20MB|tv-futbol
13468|FIBRA|50MB|tv-familiar
13469|ADSL|25MB|tv-familiar
13470|FIBRA|200MB|tv-total
13471|FIBRA|100MB|tv-futbol
13472|FIBRA|300MB|tv-futbol
13473|FIBRA|300MB|tv-familiar
13474|ADSL|25MB|tv-familiar
13475|ADSL|20MB|tv-familiar
13476|FIBRA|50MB|tv-futbol
13477|FIBRA|200MB|tv-futbol
13478|FIBRA|200MB|tv-futbol
13479|FIBRA|200MB|tv-familiar
13480|ADSL|30MB|tv-futbol
13481|ADSL|20MB|tv-futbol
13482|ADSL|30MB|tv-total
13485|ADSL|10MB|tv-familiar
13486|FIBRA|50MB|tv-futbol
13487|ADSL|35MB|tv-futbol
13488|ADSL|15MB|tv-total
13489|FIBRA|50MB|tv-familiar
13490|ADSL|10MB|tv-futbol
13491|FIBRA|300MB|tv-familiar
13492|ADSL|30MB|tv-futbol
13493|ADSL|30MB|tv-futbol
13494|FIBRA|100MB|tv-futbol
13495|ADSL|300MB|tv-futbol
13496|FIBRA|100MB|tv-familiar
13497|FIBRA|300MB|tv-total
13498|ADSL|600MB|tv-futbol
13499|FIBRA|100MB|tv-futbol
13500|ADSL|30MB|tv-total
13501|ADSL|30MB|tv-familiar
13502|ADSL|35MB|tv-futbol
13503|ADSL|30MB|tv-total
13504|FIBRA|50MB|tv-futbol
13505|ADSL|35MB|tv-familiar
13506|FIBRA|300MB|tv-familiar
13507|FIBRA|300MB|tv-total
13508|FIBRA|300MB|tv-futbol
13509|ADSL|20MB|tv-familiar
13510|FIBRA|50MB|tv-total
13511|FIBRA|200MB|tv-familiar
13512|FIBRA|300MB|tv-futbol
13513|FIBRA|600MB|tv-total
13514|ADSL|35MB|tv-familiar
13515|FIBRA|200MB|tv-familiar
13516|ADSL|10MB|tv-futbol
13517|FIBRA|200MB|tv-total
13518|ADSL|30MB|tv-familiar
13519|ADSL|25MB|tv-futbol
13520|FIBRA|100MB|tv-familiar
13521|ADSL|50MB|tv-futbol
13522|FIBRA|200MB|tv-familiar
13523|FIBRA|600MB|tv-total
13524|ADSL|30MB|tv-futbol
13525|ADSL|30MB|tv-futbol
13526|FIBRA|50MB|tv-futbol
13527|FIBRA|300MB|tv-familiar
13528|FIBRA|300MB|tv-familiar
13529|ADSL|300MB|tv-futbol
13530|ADSL|10MB|tv-futbol
13531|FIBRA|300MB|tv-futbol
13532|FIBRA|600MB|tv-familiar
13533|FIBRA|600MB|tv-futbol
13534|FIBRA|200MB|tv-futbol
13535|ADSL|20MB|tv-futbol
13536|FIBRA|300MB|tv-futbol
13537|FIBRA|50MB|tv-futbol
13538|ADSL|30MB|tv-familiar
13539|ADSL|30MB|tv-total
13540|ADSL|25MB|tv-futbol
